id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Chasing Cars,Snow Patrol,rock,calm,0.68,120,0.82,0.73,0.15
2,Lofi Hip Hop,Joji,lofi,chill,0.42,95,0.56,0.62,0.71
3,Seven Nation Army,The White Stripes,rock,intense,0.89,150,0.48,0.66,0.10
4,Skinny Love,Bon Iver,indie,melancholic,0.35,100,0.60,0.58,0.86
5,In the Gym,Lil Pump,pop,intense,0.93,140,0.77,0.88,0.05
6,Weightless,Marconi Union,ambient,chill,0.28,60,0.65,0.41,0.92
7,Autumn Leaves,Ed Sheeran,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,A thousand years,The Midnight,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Lo-Fi Beats,Nocow,lofi,focused,0.40,85,0.59,0.60,0.78
10,Take Me Home,Phil Collins,pop,happy,0.76,124,0.81,0.82,0.35
11,Ocean Avenue,Yellowcard,pop punk,relaxed,0.32,65,0.68,0.45,0.88
12,Levitating,Dua Lipa,pop,energetic,0.87,140,0.79,0.84,0.12
13,Sad But True,Metallica,metal,melancholic,0.45,95,0.52,0.48,0.91
14,Hallelujah,Leonard Cohen,folk,peaceful,0.38,82,0.72,0.51,0.85
15,Thats What I Want,Lil Nas X,hip-hop,confident,0.89,128,0.68,0.80,0.28
16,Clair de Lune,Debussy,classical,calm,0.25,75,0.76,0.35,0.94
17,Island In The Sun,Weezer,indie,mysterious,0.58,105,0.61,0.64,0.42
18,Good As Hell,Lizzo,pop,joyful,0.84,128,0.86,0.87,0.20
19,Take Five,Dave Brubeck,jazz,smooth,0.52,100,0.65,0.59,0.87
20,Midnight City,M83,synthwave,euphoric,0.81,135,0.77,0.75,0.18
21,The Night We Met,Lord Huron,folk,nostalgic,0.33,88,0.62,0.48,0.92
22,Back In Black,AC/DC,rock,aggressive,0.94,160,0.38,0.71,0.08
23,Night Crawler,Judas Priest,metal,meditative,0.31,70,0.54,0.42,0.88
24,Don't Stop Me Now,Queen,pop,optimistic,0.86,138,0.85,0.82,0.15
25,Moonlight Sonata,Beethoven,classical,serene,0.22,68,0.72,0.28,0.96
26,I Will Survive,Gloria Gaynor,disco,euphoric,0.92,128,0.88,0.91,0.12
27,An Ending,Brian Eno,ambient,dreamy,0.26,55,0.68,0.35,0.94
28,Mr. Brightside,The Killers,synthwave,intense,0.88,145,0.75,0.78,0.10
29,So What,Miles Davis,jazz,soulful,0.48,96,0.63,0.52,0.88
30,Three Little Birds,Bob Marley,reggae,happy,0.71,110,0.84,0.77,0.58
31,Seek and Destroy,Metallica,metal,angry,0.96,170,0.22,0.65,0.05
32,Indie Sleaze,Two Door Cinema Club,indie,contemplative,0.44,92,0.57,0.51,0.80
33,Gold Digger,Kanye West,hip-hop,energetic,0.85,125,0.72,0.83,0.24
34,Walking on Sunshine,Katrina and the Waves,pop,cheerful,0.79,122,0.86,0.80,0.22
35,Layla,Derek and the Dominos,rock,transcendent,0.29,62,0.71,0.39,0.91
36,Jolene,Dolly Parton,country,nostalgic,0.56,100,0.75,0.66,0.87
37,Around the World,Daft Punk,electronic,intense,0.91,135,0.60,0.85,0.08
38,Weightless Piano,Ólafur Arnalds,ambient,peaceful,0.24,64,0.65,0.31,0.95
39,Rock You Like a Hurricane,Scorpions,rock,confident,0.88,148,0.71,0.76,0.12
40,Nuages,Django Reinhardt,jazz,tranquil,0.36,78,0.61,0.45,0.84
41,Le Freak,Chic,funk,playful,0.87,130,0.82,0.88,0.20
42,Hurt,Johnny Cash,alternative,sad,0.38,85,0.38,0.42,0.85
43,We Are The Champions,Queen,pop,triumphant,0.90,140,0.83,0.84,0.14
44,Nuvole Bianche,Ludovico Einaudi,ambient,mysterious,0.27,58,0.66,0.36,0.92
45,Smells Like Teen Spirit,Nirvana,rock,rebellious,0.92,155,0.62,0.74,0.15
46,Canon in D,Johann Pachelbel,classical,elegant,0.20,72,0.78,0.30,0.97
47,In My Life,The Beatles,pop,hypnotic,0.72,122,0.55,0.76,0.16
48,Soul Train,James Brown,funk,emotional,0.58,105,0.68,0.63,0.82
49,Dreams,Fleetwood Mac,synthwave,cold,0.35,80,0.50,0.54,0.25
50,Bohemian Rhapsody,Queen,rock,ecstatic,0.93,138,0.89,0.89,0.18
50,Festival Lights,Party Vibes,pop,ecstatic,0.93,138,0.89,0.89,0.18
51,Blinding Lights,The Weeknd,pop,energetic,0.84,103,0.73,0.80,0.11
52,Shape of You,Ed Sheeran,pop,happy,0.71,96,0.80,0.65,0.08
53,Levitating,Dua Lipa,pop,euphoric,0.83,103,0.85,0.82,0.06
54,Peaches,Justin Bieber,pop,playful,0.76,90,0.78,0.68,0.12
55,Good as Hell,Lizzo,pop,confident,0.80,97,0.84,0.79,0.13
56,Anti-Hero,Taylor Swift,pop,introspective,0.61,98,0.67,0.70,0.09
57,Heat Waves,Glass Animals,indie,dreamy,0.63,80,0.77,0.72,0.15
58,Drivers License,Olivia Rodrigo,pop,melancholic,0.42,92,0.54,0.51,0.13
59,Cruel Summer,Bananarama,pop,joyful,0.87,110,0.88,0.84,0.08
60,As It Was,Harry Styles,pop,energetic,0.83,174,0.76,0.77,0.08
61,Vampire,Olivia Rodrigo,pop,dark,0.79,127,0.62,0.74,0.11
62,Water Me,FLO,pop,upbeat,0.81,104,0.86,0.80,0.07
63,Paint The Town Red,Doja Cat,pop,confident,0.88,128,0.81,0.82,0.12
64,Industry Baby,Lil Nas X,hip-hop,celebratory,0.91,153,0.79,0.86,0.08
65,God's Plan,Drake,hip-hop,triumphant,0.88,104,0.83,0.81,0.09
66,Humble,Kendrick Lamar,hip-hop,intense,0.75,99,0.60,0.73,0.10
67,Money Longer,Lil Uzi Vert,hip-hop,confident,0.80,93,0.74,0.75,0.15
68,Tití,Bad Bunny,reggaeton,romantic,0.67,92,0.79,0.71,0.19
